"Нурофен форте, таблетки обезболивающие 400 мг, 12 шт. ","Ибупрофен","Для приема внутрь. Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.

Только для кратковременного применения. Внимательно прочтите инструкцию перед приемом препарата.
Взрослым и детям старше 12 лет внутрь по 1 таблетке (400 мг) до 3 раз в сутки.

Таблетки следует запивать водой.

Интервал между приемом таблеток должен составлять не менее 6 часов.

Максимальная суточная доза составляет 1200 мг (3 таблетки). Максимальная суточная доза для детей от 12 до 18 лет составляет 800 мг (2 таблетки).

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.
",99,1
"Нурофен для детей суспензия 100 мг/5 мл клубника, 200 мл ","Ибупрофен","Нурофен® для детей – суспензия, специально разработанная для детей. Для приема внутрь. Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.

Только для кратковременного применения. Внимательно прочтите инструкцию перед приемом препарата.

Перед употреблением тщательно взболтайте флакон. Для точного отмеривания дозы препарата прилагается удобный мерный шприц. 5 мл препарата содержат 100 мг ибупрофена или 20 мг ибупрофена в 1 мл.

Лихорадка (жар) и боль:

Дозировка для детей зависит от возраста и массы тела ребенка. Максимальная суточная доза не должна превышать 30 мг/кг массы тела ребенка c интервалами между приемами препарата 6-8 часов.

    Дети в возрасте 3-6 месяцев (вес ребенка от 5 до 7,6 кг): по 2,5 мл (50 мг) до 3 раз в течение 24 часов, не более 7,5 мл (150 мг) в сутки.

    Дети в возрасте 6-12 месяцев (вес ребенка 7,7 - 9 кг): по 2,5 мл (50 мг) до 3-4 раз в течение 24 часов, не более 10 мл (200 мг) в сутки.

    Дети в возрасте 1-3 года (вес ребенка 10 - 16 кг): по 5,0 мл (100 мг) до 3 раз в течение 24 часов, не более 15 мл (300 мг) в сутки.

    Дети в возрасте 4-6 лет (вес ребенка 17 - 20 кг): по 7,5 мл (150 мг) до 3 раз в течение 24 часов, не более 22,5 мл (450 мг) в сутки.

    Дети в возрасте 7-9 лет (вес ребенка 21 - 30 кг): по 10 мл (200 мг) до 3 раз в течение 24 часов, не более 30 мл (600 мг) в сутки.

    Дети в возрасте 10-12 лет (вес ребенка 31 - 40 кг): по 15 мл (300 мг) до 3 раз в течение 24 часов, не более 45 мл (900 мг) в сутки.

Продолжительность лечения - не более 3 дней. Не превышайте указанную дозу.

Если при приеме препарата в течение 24 часов (у детей в возрасте 3-5 месяцев) или в течение 3 дней (у детей в возрасте 6 месяцев и старше) симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.


Постиммунизационная лихорадка:

Детям в возрасте до 6 месяцев: по 2,5 мл (50 мг) препарата. При необходимости, еще 2,5 мл (50 мг) через 6 часов. Не применяйте более 5 мл (100 мг) в течение 24 часов.",189,2
"Нурофен суспензия для детей 100мг/5 мл клубника, 100 мл ","Ибупрофен","

Нурофен® для детей – суспензия, специально разработанная для детей. Для приема внутрь. Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.

Только для кратковременного применения. Внимательно прочтите инструкцию перед приемом препарата.

Перед употреблением тщательно взболтайте флакон. Для точного отмеривания дозы препарата прилагается удобный мерный шприц. 5 мл препарата содержат 100 мг ибупрофена или 20 мг ибупрофена в 1 мл.

Использование мерного шприца:

Плотно вставьте мерный шприц в горлышко флакона. Переверните флакон вверх дном и плавно потяните поршень вниз, набирая суспензию в шприц до нужной отметки. Верните флакон в исходное положение и выньте шприц, аккуратно поворачивая его. Поместите шприц в ротовую полость и медленно нажимайте на поршень, плавно выпуская суспензию.

После употребления промойте шприц в теплой воде и высушите его в недоступном для ребенка месте.

Лихорадка (жар) и боль:

Дозировка для детей зависит от возраста и массы тела ребенка.

Максимальная суточная доза не должна превышать 30 мг/кг массы тела ребенка c интервалами между приемами препарата 6-8 часов. 

Дети в возрасте 3-6  месяцев (вес ребенка от 5 до 7,6 кг): по 2,5 мл (50 мг) до 3 раз в течение 24 часов, не более 7,5 мл (150 мг) в сутки.

Дети в возрасте 6-12 месяцев (вес ребенка 7,7 - 9 кг): по 2,5 мл (50 мг) до 3-4 раз в течение 24 часов, не более 10 мл (200 мг) в сутки.

Дети в возрасте 1-3 года (вес ребенка 10 - 16 кг): по 5,0 мл (100 мг) до 3 раз в течение 24 часов, не более 15 мл (300 мг) в сутки.

Дети в возрасте 4-6 лет (вес ребенка 17 - 20 кг): по 7,5 мл (150 мг) до 3 раз в течение 24 часов, не более 22,5 мл (450 мг) в сутки.

Дети в возрасте 7-9 лет (вес ребенка 21 - 30 кг): по 10 мл (200 мг) до 3 раз в течение 24 часов, не более 30 мл (600 мг) в сутки.

Дети в возрасте 10-12 лет (вес ребенка 31 - 40 кг): по 15 мл (300 мг) до 3 раз в течение 24 часов, не более 45 мл (900 мг) в сутки.

Продолжительность лечения - не более 3 дней. Не превышайте указанную дозу.

Если при приеме препарата в течение 24 часов (у детей в возрасте 3-5 месяцев) или в течение 3 дней (у детей в возрасте 6 месяцев и старше) симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.

Постиммунизационная лихорадка:

Детям в возрасте до 6 месяцев: по 2,5 мл (50 мг) препарата. При необходимости, еще 2,5 мл (50 мг) через 6 часов. Не применяйте более 5 мл (100 мг) в течение 24 часов.",112,3
"Нурофен для детей с 6 лет, таблетки от жара и боли 200 мг, 8 шт. ","Ибупрофен","

С 6 до 12 лет  - по 1 таблетке не более 4 раз в сутки.

С 12 лет – по 1 таблетке 3-4 раза в сутки.

Не принимать более 6 таблеток в течение 24 часов.

Интервалы между приемом препарата должны составлять не менее 6 часов. ",101,4
"Нурофаст таблетки покрыт.плен.об. 200 мг, 20 шт. ","Ибупрофен","Для приема внутрь. Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды. 
Только для кратковременного применения. Внимательно прочтите инструкцию перед приемом препарата.

Взрослым и детям старше 12 лет: внутрь по 1 таблетке (200 мг) до 3-4 раз в сутки.

Таблетки следует запивать водой. Для достижения более быстрого терапевтического эффекта у взрослых доза может быть увеличена до 2 таблеток (400 мг) до 3 раз в сутки.

Детям от 6 до 12 лет: по 1 таблетке (200 мг) до 3-4 раз в день; препарат можно принимать только в случае массы тела ребенка более 20 кг.

Интервал между приемом таблеток должен составлять не менее 6 часов.

Максимальная суточная доза для взрослых составляет 1200 мг (6 таблеток).

Максимальная суточная доза для детей от 6 до 18 лет составляет 800 мг (4 таблетки).

Если при приеме препарата в течение 2-3 дней симптом",143,5
"Нурофаст Форте таблетки покрыт.плен.об. 400 мг, 20 шт. ","Ибупрофен","

Для приема внутрь. Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.

Только для кратковременного применения. Внимательно прочтите инструкцию перед приемом препарата.

Взрослым и детям старше 12 лет внутрь по 1 таблетке (400 мг) до 3 раз в сутки.

Детям от 6 до 12 лет по 1/2 таблетки (200 мг) до 3-4 раз в сутки; препарат можно принимать только в случае массы тела ребенка более 20 кг.
Таблетки следует запивать водой.

Интервал между приемом таблеток должен составлять не менее 4 часов.

Максимальная суточная доза для взрослых составляет 1200 мг (3 таблетки).

Максимальная суточная доза для детей от 6 до 18 лет составляет 800 мг (2 таблетки).

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.",143,6
"Нурофен Экспресс капсулы обезболивающие 200 мг, 8 шт.","Ибупрофен","Внимательно прочтите инструкцию перед приемом препарата.

Для приема внутрь. Только для кратковременного применения.

Взрослые и дети старше 12 лет: внутрь по 1 капсуле (200 мг), не разжевывая, до 3-4 раз в сутки. Капсулу следует запивать водой. Интервал между приемами препарата должен составлять 6-8 часов.

Для достижения более быстрого терапевтического эффекта у взрослых разовая доза может быть увеличена до 2 капсул (400 мг) до 3 раз в сутки.

Максимальная суточная доза составляет 1200 мг.

Максимальная суточная доза для детей 12-17 лет составляет 1000 мг.

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.
",143,7
"Нурофен, таблетки обезболивающие 200 мг, 10 шт. ","Ибупрофен","Для приема внутрь.

Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.

Только для кратковременного применения.

Внимательно прочтите инструкцию перед приемом препарата.

Взрослым и детям старше 12 лет: внутрь по 1 таблетке (200 мг) до 3-4 раз в сутки.

Таблетки следует запивать водой.

Для достижения более быстрого терапевтического эффекта у взрослых доза может быть увеличена до 2 таблеток (400 мг) до 3 раз в сутки.

Детям от 6 до 12 лет: по 1 таблетке (200 мг) до 3-4 раз в день; препарат можно принимать только в случае массы тела ребенка более 20 кг. Интервал между приемом таблеток должен составлять не менее 6 часов.

Максимальная суточная доза для взрослых составляет 1200 мг (6 таблеток).

Максимальная суточная доза для детей от 6 до 18 лет: 800 мг (4 таблетки).

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.

Для приема внутрь.

Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.

Только для кратковременного применения.

Внимательно прочтите инструкцию перед приемом препарата.

Взрослым и детям старше 12 лет: внутрь по 1 таблетке (200 мг) до 3-4 раз в сутки. Таблетки следует запивать водой. Для достижения более быстрого терапевтического эффекта у взрослых доза может быть увеличена до 2 таблеток (400 мг) до 3 раз в сутки.

Детям от 6 до 12 лет: по 1 таблетке (200 мг) до 3-4 раз в день; препарат можно принимать только в случае массы тела ребенка более 20 кг.

Интервал между приемом таблеток должен составлять не менее 6 часов.

Максимальная суточная доза для взрослых составляет 1200 мг (6 таблеток).

Максимальная суточная доза для детей от 6 до 18 лет: 800 мг (4 таблетки).

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.

Более подробную информацию о способах применения и дозах, противопоказаниях и побочных эффектах смотрите в инструкции по применению препарата. ",87,8
"Нурофен Экспресс Форте капсулы обезболивающие 400 мг, 10 шт. ","Ибупрофен","

Внимательно прочтите инструкцию перед приемом препарата.

Для приема внутрь. Только для кратковременного применения.

Взрослые и дети старше 12 лет: внутрь по 1 капсуле, не разжевывая. Капсулу следует запивать водой. Интервал между приемами препарата должен составлять не менее 4 часов. Максимальная суточная доза составляет 1200 мг. Максимальная суточная доза для детей 12-17 лет составляет 800 мг.

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.",175,9
"Нурофен, экспресс гель от боли в суставах 5%, 100 г ","Ибупрофен","

Только для наружного применения.

Внимательно прочтите инструкцию перед применением препарата.

Нурофен® Экспресс гель назначают взрослым и детям старше 14 лет.

При первом использовании тюбика: открыв крышку, проверьте, что предохранительная фольга на горловине тюбика не повреждена. Вскройте фольгу, надавливая на нее внешней стороной крышки.

Выдавите из тюбика на руку 4 – 10 см препарата (эквивалентно приблизительно 50 – 125 мг ибупрофена) и аккуратно вотрите гель в кожу до полного впитывания.

Сразу после применения препарата необходимо вымыть руки.

Повторно использовать препарат следует не ранее, чем через 4 часа. Не следует применять гель более четырех раз в течение 24 часов. Максимальная суточная доза 500 мг.

Если в течение 2-х недель использования препарата симптомы сохраняются или усугубляются, необходимо прекратить лечение и обратиться к врачу.

Не превышайте указанную дозу.",254,10
"Нурофен Экспресс Форте капсулы обезболивающие, 400 мг, 20 шт. ","Ибупрофен","

Внимательно прочтите инструкцию перед приемом препарата.

Для приема внутрь. Только для кратковременного применения.

Взрослые и дети старше 12 лет: внутрь по 1 капсуле, не разжевывая. Капсулу следует запивать водой. Интервал между приемами препарата должен составлять не менее 4 часов. Максимальная суточная доза составляет 1200 мг.

Максимальная суточная доза для детей 12-17 лет составляет 800 мг.

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу.",313,11
"Нурофен, таблетки обезболивающие 200 мг, 20 шт. ","Ибупрофен","Для приема внутрь. Пациентам с повышенной чувствительностью желудка рекомендуется принимать препарат во время еды.
Только для кратковременного применения. Внимательно прочтите инструкцию перед приемом препарата.

Взрослым и детям старше 12 лет: внутрь по 1 таблетке (200 мг) до 3-4 раз в сутки. Таблетки следует запивать водой. Для достижения более быстрого терапевтического эффекта у взрослых доза может быть увеличена до 2 таблеток (400 мг) до 3 раз в сутки.

Детям от 6 до 12 лет: по 1 таблетке (200 мг) до 3-4 раз в день; препарат можно принимать только в случае массы тела ребенка более 20 кг.

Интервал между приемом таблеток должен составлять не менее 6 часов.

Максимальная суточная доза для взрослых составляет 1200 мг (6 таблеток). Максимальная суточная доза для детей от 6 до 18 лет: 800 мг (4 таблетки).

Если при приеме препарата в течение 2-3 дней симптомы сохраняются или усиливаются, необходимо прекратить лечение и обратиться к врачу. ",140,12
